Positive,Negative,Neutral,Mixed,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,automated_readability_index,coleman_liau_index,linsear_write_formula,lexicon_count,sentence_count
0.9988704323768616,5.535151285585016e-05,0.001031115185469389,4.304277172195725e-05,66.13,7.4,10.15,7.7,9.27,7.800000000000001,68,5
0.9922366738319397,5.845230771228671e-05,0.007491684053093195,0.00021323013061191887,63.49,8.4,11.42,8.0,8.18,10.1,81,5
0.9933267831802368,0.00014548776380252093,0.005652835592627525,0.0008748167892917991,74.19,6.4,8.93,6.2,7.07,7.5,84,6
0.9576513171195984,0.0006993282004259527,0.02793397381901741,0.013715320266783237,71.55,7.4,9.53,7.5,7.42,8.5,83,5
0.9856085777282715,9.982788469642401e-05,0.014002418145537376,0.00028916916926391423,65.52,7.6,9.62,7.4,8.52,8.1,71,5
0.9983692765235901,4.523909228737466e-05,0.0014399547362700105,0.0001455598685424775,67.04,7.1,8.76,7.1,8.63,7.333333333333334,76,6
0.9800410866737366,6.569977995241061e-05,0.019764604046940804,0.00012865697499364614,57.67,8.6,11.91,7.7,9.16,8.0,68,5
0.983992874622345,6.522398325614631e-05,0.015829691663384438,0.00011224782065255567,72.36,7.1,9.36,7.3,7.77,8.1,79,5
0.9985527396202087,7.908970292191952e-05,0.00046214894973672926,0.0009060984593816102,63.49,8.4,9.44,9.2,9.8,10.3,81,5
0.9875230193138123,5.075872104498558e-05,0.012325998395681381,0.00010019937326433137,48.2,10.2,12.42,9.5,10.72,10.1,73,5
0.9991679191589355,0.000547399336937815,0.00017670173838268965,0.00010796864080475643,82.68,7.3,9.82,8.1,5.35,11.875,89,4
0.9049640893936157,0.00022905055084265769,0.09462959319353104,0.00017726920486893505,68.77,6.4,9.25,6.8,9.03,6.166666666666667,66,6
0.9911789298057556,4.9201251385966316e-05,0.008732469752430916,3.9466092857765034e-05,57.47,8.7,9.58,8.8,10.32,8.1,69,5
0.987379252910614,0.0003038741124328226,0.012282942421734333,3.386240132385865e-05,57.87,8.5,10.14,7.3,8.81,7.699999999999999,67,5
0.999024510383606,3.5121800465276465e-05,0.0008916814113035798,4.8663216148270294e-05,66.54,7.3,8.92,6.6,7.82,7.6,66,5
0.9919101595878601,7.160325912991539e-05,0.007810396607965231,0.00020779205078724772,81.83,5.5,7.0,6.5,6.84,7.0,74,5
0.8927998542785645,0.00010707611363613978,0.10686326771974564,0.00022986697149462998,83.66,4.8,7.66,6.6,7.99,6.3,65,5
0.8648433089256287,0.005597822368144989,0.12410230934619904,0.005456589628010988,65.93,7.5,11.32,7.2,8.34,7.9,69,5
0.9969964027404785,7.570655725430697e-05,0.0026217226404696703,0.00030620713368989527,73.37,6.7,9.16,7.4,8.17,7.6,74,5
